index,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATin,1.3445448,1.200675074,1.167413811,1.443714864,1.220591402,1.147647127,1.179925628,1.214701635,1.172406443,1.501382669,1.214245587,1.148282743,1.243976139,1.172801544,1.199231005,1.18634222,1.181583348,1.321149672
ATout,1.534904704,1.517035363,1.33087977,1.663524976,1.366953816,1.339747127,1.293189811,1.392718313,1.334521063,1.297997807,1.393689309,1.251214056,1.395749429,1.298223986,1.304592893,1.357239935,1.298500607,1.493455135
DI,1.209926154,1.051124287,1.035429289,1.261926922,1.046937254,0.99882264,1.005252926,1.059874452,1.021214405,1.331793275,1.074384185,0.983011201,1.067460457,1.045282379,1.030572076,1.056293563,1.038501218,1.370542654
ET,0.855517136,0.763883583,0.758979452,0.806040416,0.767981351,0.740332665,0.750652538,0.765675034,0.751019323,0.754346695,0.799594062,0.758093466,0.798804461,0.749932958,0.73494189,0.756890164,0.743918909,1.017346574
HI,1.567006562,1.402548396,1.356049415,1.658164367,1.436479217,1.331993283,1.360340289,1.459715507,1.410795214,1.420538847,1.544956913,1.297907552,1.445209348,1.509762481,1.498405217,1.390889679,1.326328841,1.570793926
HMI,1.686097578,1.524904028,1.429375201,1.73594461,1.542864539,1.439976625,1.445938737,1.454623968,1.468423875,1.857479976,1.507501969,1.38598521,1.557255344,1.470540836,1.447224477,1.444863668,1.390199177,1.999642497
MDI,1.337353312,1.158647052,1.179591523,1.193567933,1.191030339,1.096887873,1.101899725,1.49058273,1.152738259,1.513802035,1.50198642,1.050168403,1.408661684,1.16972602,1.099413783,1.492135309,1.112895226,1.422050386
SAT,1.369060301,1.203370393,1.221445451,1.315106026,1.285162473,1.160377332,1.179792083,1.212155467,1.202249577,1.210409664,1.245523985,1.158810262,1.259881669,1.171982911,1.192977627,1.22347623,1.194123286,1.392465554
sWBGT,1.017118313,0.937657201,0.870430719,0.944538796,0.981252595,0.89172559,0.887261984,0.880124651,0.886820122,0.917605865,0.985648464,0.883967478,0.95742981,0.954825395,0.92385273,0.91575752,0.83500738,0.930752191
WBT,1.21507002,1.041159196,1.05221738,1.235419461,1.059661038,0.98748313,0.998365449,1.028298697,1.002241252,1.026539078,1.035384808,1.244822563,1.038522339,1.034810261,1.12951122,1.025272873,0.977621997,1.228812883
NET,2.381678377,2.019190175,1.967614685,1.931766318,1.884312998,1.848073303,1.818845129,1.788383014,1.67526541,1.877006879,1.733005447,1.651613543,1.742105429,1.77739013,1.630056102,1.682582811,1.553871922,1.735956586
WCT,2.181638897,1.800159387,1.832049966,1.900214294,1.688097471,1.629689669,1.559115369,1.551029611,1.413282597,1.456213466,1.492219416,1.361798669,1.483956394,1.460442907,1.419285953,1.438873206,1.362503413,1.558781503
